"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
18102,1,"18102X1","K0001","5804890",134,0,536,950,1120,134,0
18102,1,"18102X1","K0001","5804952",134,0,402,950,1120,134,0
18102,1,"18102X1","K0001","5804964",134,0,268,950,1120,134,0
18102,1,"18102X1","K0001","5804972",134,0,134,950,1120,134,0
18102,1,"18102X1","K0001","5804980",134,0,0,950,1120,134,0
18102,1,"18102X1","K0001","5804987",0,2472,1120,950,134,1120,0
18102,1,"18102X1","K0001","5804993",0,2472,0,950,134,1120,0
18102,1,"18102X1","K0001","5804998",0,2338,1120,950,134,1120,0
18102,1,"18102X1","K0001","5805003",0,2338,0,950,134,1120,0
18102,1,"18102X1","K0001","5805005",0,2204,1120,950,134,1120,0
18102,1,"18102X1","K0001","5805008",0,2204,0,950,134,1120,0
18102,1,"18102X1","K0001","5805010",0,2070,1120,950,134,1120,0
18102,1,"18102X1","K0001","5805012",0,2070,0,950,134,1120,0
18102,1,"18102X1","K0001","5805015",0,950,2168,950,1120,134,0
18102,1,"18102X1","K0001","5805017",0,950,2034,950,1120,134,0
18102,1,"18102X1","K0001","5805022",0,950,1900,950,1120,134,0
18102,1,"18102X1","K0001","5805024",0,950,950,134,1120,950,0
18102,1,"18102X1","K0001","5805026",0,950,0,134,1120,950,0
18102,1,"18102X1","K0001","5805028",0,0,1120,134,950,1120,0
18102,1,"18102X1","K0001","5805030",0,0,0,134,950,1120,0
