"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18113;1;"18113X1";"K0001";"5835836";9980;2390;0;950;300;1140;0
18113;1;"18113X1";"K0001";"5835837";10030;1250;0;300;1140;950;0
18113;2;"18113X2";"K0001";"5835855";3400;520;960;1140;260;960;0
18113;2;"18113X2";"K0001";"5835865";3400;260;960;1140;260;960;0
18113;2;"18113X2";"K0001";"5835881";3400;0;960;1140;260;960;0
18113;1;"18113X1";"K0001";"5835889";10030;300;0;300;950;1140;0
18113;1;"18113X1";"K0001";"5835893";9730;300;0;300;1140;950;0
18113;1;"18113X1";"K0001";"5835902";9680;1500;0;300;1140;950;0
18113;1;"18113X1";"K0001";"5835904";9380;1500;0;300;1140;950;0
18113;2;"18113X2";"K0001";"5835905";3400;1820;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835914";3400;1560;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835926";3400;1300;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835930";3400;1040;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835934";3400;780;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835937";3400;520;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835944";3400;260;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835945";3400;0;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835947";3140;2180;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5835948";3060;2180;1040;960;260;1140;0
18113;2;"18113X2";"K0001";"5835990";3140;1920;1040;960;260;1140;0
18113;2;"18113X2";"K0001";"5836005";2180;0;1660;960;1140;260;0
18113;2;"18113X2";"K0001";"5836016";2180;0;1400;960;1140;260;0
18113;2;"18113X2";"K0001";"5836035";3140;960;1140;260;960;1140;0
18113;2;"18113X2";"K0001";"5836039";3140;0;1140;260;960;1140;0
18113;2;"18113X2";"K0001";"5836046";2180;0;1140;960;1140;260;0
18113;2;"18113X2";"K0001";"5836068";2440;1040;780;960;1140;260;0
18113;2;"18113X2";"K0001";"5836079";2440;1040;520;960;1140;260;0
18113;2;"18113X2";"K0001";"5836129";2440;1040;260;960;1140;260;0
18113;2;"18113X2";"K0001";"5836161";2440;1040;0;960;1140;260;0
18113;2;"18113X2";"K0001";"5836175";2440;780;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836188";2440;520;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836189";2440;260;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836197";2440;0;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836203";1920;0;1920;1140;960;260;0
18113;2;"18113X2";"K0001";"5836205";1480;1660;1040;960;260;1140;0
18113;2;"18113X2";"K0001";"5836209";1920;1400;1040;960;260;1140;0
18113;2;"18113X2";"K0001";"5836214";1920;1140;1140;960;260;1140;0
18113;2;"18113X2";"K0001";"5836218";960;2360;1140;960;260;1140;0
18113;2;"18113X2";"K0001";"5836221";960;2100;1140;960;260;1140;0
18113;2;"18113X2";"K0001";"5836225";1920;2180;960;1140;260;960;0
18113;2;"18113X2";"K0001";"5836229";1920;2180;0;1140;260;960;0
18113;2;"18113X2";"K0001";"5836230";960;2180;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836247";1480;780;780;960;1140;260;0
18113;2;"18113X2";"K0001";"5836250";1480;780;520;960;1140;260;0
18113;2;"18113X2";"K0001";"5836253";1480;780;260;960;1140;260;0
