oid;sku;l;d;h;w
43648;5625963;950;134;1120;586
43648;5625964;950;134;1120;586
43648;5625965;1140;950;280;279
43648;5625966;1140;280;950;279
43648;5625967;1120;950;134;436
43648;5625968;1200;745;1140;450
43648;5625969;950;1120;134;586
43648;5625970;1140;950;300;424
43648;5625971;960;260;1140;421
43648;5625972;1140;260;960;421
43648;5625973;950;1120;134;586
43648;5625974;1140;745;1200;450
43648;5625975;134;950;1120;586
43648;5625976;960;260;1140;421
43648;5625977;1140;745;1200;450
43648;5625978;960;1140;260;421
43648;5625979;1120;134;950;586
43648;5625980;960;1140;260;421
43648;5625981;960;1140;260;421
43648;5625982;960;1140;260;421
43648;5625983;960;1140;260;421
43648;5625984;960;1140;260;421
43648;5625985;960;1140;260;421
43648;5625986;960;1140;260;421
43648;5625987;960;1140;260;421
43648;5625988;960;1140;260;421
43648;5625989;960;1140;260;421
43648;5649138;950;134;1120;436
43648;5649139;1120;260;1570;1300
43648;5649140;480;280;1140;385
43648;5649141;1140;300;1550;609
43648;5649142;960;260;1140;276
43648;5649143;300;1140;950;377
43648;5649144;300;1140;1550;762
43648;5649145;950;1140;300;424
43648;5649146;1140;480;280;385
43648;5649147;1140;300;1550;609
43648;5649148;960;260;1140;276
43648;5649149;950;134;1120;436
43648;5649150;1120;134;950;436
43648;5649151;1140;300;1550;609
43648;5649152;950;134;1120;436
43648;5649154;1140;280;950;279
43648;5649155;134;950;1120;436
43648;5649157;1140;280;950;229
43648;5649158;134;950;1120;436
43648;5649159;134;950;1120;436
43648;5649163;480;280;1140;385
43648;5649164;134;1120;950;436
43648;5649165;480;1140;280;385
43648;5649166;480;1140;280;385
43648;5649167;480;1140;280;385
43648;5649171;260;1140;960;276
43648;5649174;260;1140;960;276
43648;5649176;260;960;1140;276
43648;5649178;960;260;1140;276
43648;5649181;260;960;1140;276
43648;5649182;260;960;1140;276
43648;5649185;960;260;1140;276
43648;5649187;960;260;1140;276
43648;5649188;260;960;1140;276
43648;5649190;260;960;1140;276
43648;5649191;260;960;1140;276
43648;5649193;260;960;1140;276
43648;5649197;950;280;1140;279
43648;5649199;300;1140;1550;609
43648;5649201;950;300;1140;424
43648;5649202;1140;1200;560;400
43648;5649203;960;260;1140;421
43648;5649204;1120;2240;360;740
43648;5649206;1120;2240;360;740
43648;5649207;134;1120;950;436
43648;5649208;950;280;1140;279
43648;5649209;1120;134;950;436
43648;5649210;1140;745;1200;450
43648;5649212;960;260;1140;421
43648;5649213;1140;745;1200;450
43648;5649214;1140;280;950;229
43648;5649216;1140;960;260;421
43648;5649218;1120;360;2240;740
43648;5649219;360;1120;2240;740
43648;5649222;134;1120;950;436
43648;5649225;360;1120;2240;740
43648;5649226;950;134;1120;436
43648;5649228;1120;2240;360;740
43648;5649230;1120;360;2240;740
43648;5649231;1140;1200;745;450
43648;5649233;1140;1200;745;450
43648;5649235;360;1120;2240;740
43648;5649236;1140;745;1200;450
43648;5649238;1140;745;1200;450
43648;5649240;360;1120;2240;740
43648;5649243;1140;745;1200;450
43648;5649252;950;300;1140;377
43648;5649268;1140;950;280;229
43648;5649280;480;280;1140;385
43648;5649285;1140;1200;560;400
43648;5649287;950;300;1140;377
43648;5649292;1140;950;280;229
43648;5649302;950;300;1140;424
43648;5649303;950;300;1140;377
43648;5649304;480;1140;280;385
43648;5649305;480;280;1140;385
43648;5649306;950;300;1140;424
