"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18092;12;"18092X12";"K0001";"5662057";4650;1500;1140;300;950;1140;0
18092;19;"18092X19";"K0001";"5662062";4540;0;0;960;260;1140;0
18092;12;"18092X12";"K0001";"5662068";10450;2150;0;950;300;1140;0
18092;6;"18092X6";"K0001";"5662070";8940;0;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662073";8940;1140;0;745;1140;1200;0
18092;12;"18092X12";"K0001";"5662076";9500;2150;0;950;300;1140;0
18092;12;"18092X12";"K0001";"5662078";8550;2150;0;950;300;1140;0
18092;19;"18092X19";"K0001";"5662080";4180;1300;1480;960;1140;260;0
18092;6;"18092X6";"K0001";"5662082";8940;0;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662083";8195;1200;1200;745;1200;1140;0
18092;12;"18092X12";"K0001";"5662084";7600;2150;0;950;300;1140;0
18092;19;"18092X19";"K0001";"5662085";4180;1300;1220;960;1140;260;0
18092;12;"18092X12";"K0001";"5662087";6650;2150;0;950;300;1140;0
18092;19;"18092X19";"K0001";"5662093";4180;1300;960;960;1140;260;0
18092;6;"18092X6";"K0001";"5662094";8195;0;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662095";8195;1140;0;745;1140;1200;0
18092;12;"18092X12";"K0001";"5662096";5700;2150;0;950;300;1140;0
18092;12;"18092X12";"K0001";"5662097";4750;2150;0;950;300;1140;0
18092;19;"18092X19";"K0001";"5662099";4180;1040;960;1140;260;960;0
18092;6;"18092X6";"K0001";"5662102";8195;0;0;745;1140;1200;0
18092;12;"18092X12";"K0001";"5662103";4350;1500;1140;300;950;1140;0
18092;19;"18092X19";"K0001";"5662104";4180;780;960;1140;260;960;0
18092;6;"18092X6";"K0001";"5662105";7450;1200;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662107";7450;0;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662108";3400;960;1920;1140;960;260;0
18092;6;"18092X6";"K0001";"5662110";7450;1140;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662111";7450;0;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662113";6705;1200;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662114";3400;0;1920;1140;960;260;0
18092;19;"18092X19";"K0001";"5662115";3920;780;960;260;1140;960;0
18092;6;"18092X6";"K0001";"5662117";6705;0;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662118";6705;1140;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662120";6705;0;0;745;1140;1200;0
18092;19;"18092X19";"K0001";"5662121";3660;780;960;260;1140;960;0
18092;6;"18092X6";"K0001";"5662122";5960;1200;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662123";5960;0;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662124";3400;780;960;260;1140;960;0
18092;6;"18092X6";"K0001";"5662125";5960;1140;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662126";5960;0;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662127";5215;1200;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662128";3400;520;960;1140;260;960;0
18092;6;"18092X6";"K0001";"5662129";5215;0;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662130";5215;1140;0;745;1140;1200;0
18092;19;"18092X19";"K0001";"5662131";3400;260;960;1140;260;960;0
18092;6;"18092X6";"K0001";"5662132";5215;0;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662133";4470;1200;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662134";3400;0;960;1140;260;960;0
18092;6;"18092X6";"K0001";"5662135";4470;0;1200;745;1200;1140;0
18092;6;"18092X6";"K0001";"5662136";4470;1140;0;745;1140;1200;0
18092;6;"18092X6";"K0001";"5662137";4470;0;0;745;1140;1200;0
18092;19;"18092X19";"K0001";"5662138";3400;1820;0;1140;260;960;0
18092;6;"18092X6";"K0001";"5662139";3725;1200;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662140";3400;1560;0;1140;260;960;0
18092;6;"18092X6";"K0001";"5662141";3725;0;1200;745;1200;1140;0
18092;15;"18092X15";"K0001";"5662142";1790;1700;1140;950;280;1140;0
18092;6;"18092X6";"K0001";"5662143";3725;1140;0;745;1140;1200;0
18092;19;"18092X19";"K0001";"5662144";3400;1300;0;1140;260;960;0
18092;6;"18092X6";"K0001";"5662145";3725;0;0;745;1140;1200;0
18092;19;"18092X19";"K0001";"5662146";3400;1040;0;1140;260;960;0
18092;15;"18092X15";"K0001";"5662147";1900;1420;1140;950;280;1140;0
18092;6;"18092X6";"K0001";"5662148";2980;1200;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662149";3400;780;0;1140;260;960;0
18092;15;"18092X15";"K0001";"5662150";950;2370;1140;950;280;1140;0
18092;19;"18092X19";"K0001";"5662151";3400;520;0;1140;260;960;0
18092;19;"18092X19";"K0001";"5662152";3400;260;0;1140;260;960;0
18092;19;"18092X19";"K0001";"5662153";3400;0;0;1140;260;960;0
18092;19;"18092X19";"K0001";"5662154";3140;2180;0;1140;260;960;0
18092;15;"18092X15";"K0001";"5662155";1510;1140;1140;280;950;1140;0
18092;6;"18092X6";"K0001";"5662156";2980;0;1200;745;1200;1140;0
18092;19;"18092X19";"K0001";"5662157";3060;2180;1040;960;260;1140;0
18092;15;"18092X15";"K0001";"5662158";1510;1400;0;950;280;1140;0
18092;19;"18092X19";"K0001";"5662159";3140;1920;1040;960;260;1140;0
18092;15;"18092X15";"K0001";"5662160";1900;1140;1140;950;280;1140;0
18092;19;"18092X19";"K0001";"5662161";2180;0;1660;960;1140;260;0
18092;15;"18092X15";"K0001";"5662162";950;2090;1140;950;280;1140;0
18092;4;"18092X4";"K0001";"5662163";3240;1440;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662164";2180;0;1400;960;1140;260;0
18092;15;"18092X15";"K0001";"5662165";1900;2180;950;1140;280;950;0
18092;19;"18092X19";"K0001";"5662167";3140;960;1140;260;960;1140;0
18092;15;"18092X15";"K0001";"5662168";1900;2180;0;1140;280;950;0
18092;4;"18092X4";"K0001";"5662181";3240;300;0;300;1140;1550;0
18092;15;"18092X15";"K0001";"5662183";950;2180;0;950;280;1140;0
18092;19;"18092X19";"K0001";"5662185";3140;0;1140;260;960;1140;0
18092;4;"18092X4";"K0001";"5662186";2940;1440;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662187";2180;0;1140;960;1140;260;0
18092;19;"18092X19";"K0001";"5662188";2440;1040;780;960;1140;260;0
18092;19;"18092X19";"K0001";"5662193";2440;1040;520;960;1140;260;0
18092;4;"18092X4";"K0001";"5662195";2940;300;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662198";2440;1040;260;960;1140;260;0
18092;15;"18092X15";"K0001";"5662199";1510;1120;0;950;280;1140;0
18092;4;"18092X4";"K0001";"5662201";2640;1440;0;300;1140;1550;0
18092;4;"18092X4";"K0001";"5662202";2640;300;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662204";2440;1040;0;960;1140;260;0
18092;19;"18092X19";"K0001";"5662205";2440;780;0;960;260;1140;0
18092;19;"18092X19";"K0001";"5662207";2440;520;0;960;260;1140;0
18092;15;"18092X15";"K0001";"5662208";1510;840;0;950;280;1140;0
18092;4;"18092X4";"K0001";"5662209";2340;1440;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662211";2440;260;0;960;260;1140;0
18092;4;"18092X4";"K0001";"5662212";2340;300;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662214";2440;0;0;960;260;1140;0
18092;19;"18092X19";"K0001";"5662215";1920;0;1920;1140;960;260;0
18092;19;"18092X19";"K0001";"5662216";1480;1660;1040;960;260;1140;0
18092;15;"18092X15";"K0001";"5662218";1510;560;0;950;280;1140;0
18092;4;"18092X4";"K0001";"5662219";2040;1440;0;300;1140;1550;0
18092;4;"18092X4";"K0001";"5662221";2040;300;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5662222";1920;1400;1040;960;260;1140;0
18092;15;"18092X15";"K0001";"5662223";1510;280;0;950;280;1140;0
18092;19;"18092X19";"K0001";"5662226";1920;1140;1140;960;260;1140;0
