"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
43648,4,"43648X4","K0001","5625963",1994,134,0,950,134,1120,586
43648,4,"43648X4","K0001","5625964",1994,0,0,950,134,1120,586
43648,1,"43648X1","K0001","5625965",1500,0,1945,1140,950,280,279
43648,1,"43648X1","K0001","5625966",8340,2340,0,1140,280,950,279
43648,4,"43648X4","K0001","5625967",1420,0,1900,1120,950,134,436
43648,1,"43648X1","K0001","5625968",2640,0,1200,1200,745,1140,450
43648,4,"43648X4","K0001","5625969",1088,0,2204,950,1120,134,586
43648,3,"43648X3","K0001","5625970",950,1740,1440,1140,950,300,424
43648,3,"43648X3","K0001","5625971",3460,0,0,960,260,1140,421
43648,3,"43648X3","K0001","5625972",2500,2280,1140,1140,260,960,421
43648,4,"43648X4","K0001","5625973",1088,520,2070,950,1120,134,586
43648,1,"43648X1","K0001","5625974",2640,0,0,1140,745,1200,450
43648,4,"43648X4","K0001","5625975",1154,520,950,134,950,1120,586
43648,3,"43648X3","K0001","5625976",2500,2280,0,960,260,1140,421
43648,1,"43648X1","K0001","5625977",1500,1490,745,1140,745,1200,450
43648,3,"43648X3","K0001","5625978",2500,1140,1400,960,1140,260,421
43648,4,"43648X4","K0001","5625979",1690,2042,950,1120,134,950,586
43648,3,"43648X3","K0001","5625980",2500,1140,1140,960,1140,260,421
43648,3,"43648X3","K0001","5625981",1900,1140,1820,960,1140,260,421
43648,3,"43648X3","K0001","5625982",2500,0,1820,960,1140,260,421
43648,3,"43648X3","K0001","5625983",2500,0,1560,960,1140,260,421
43648,3,"43648X3","K0001","5625984",2500,0,1300,960,1140,260,421
43648,3,"43648X3","K0001","5625985",2500,0,1040,960,1140,260,421
43648,3,"43648X3","K0001","5625986",2500,0,780,960,1140,260,421
43648,3,"43648X3","K0001","5625987",2500,0,520,960,1140,260,421
43648,3,"43648X3","K0001","5625988",2500,0,260,960,1140,260,421
43648,3,"43648X3","K0001","5625989",2500,0,0,960,1140,260,421
43648,4,"43648X4","K0001","5649138",740,2042,950,950,134,1120,436
43648,4,"43648X4","K0001","5649139",260,260,0,1120,260,1570,1300
43648,3,"43648X3","K0001","5649140",3460,1860,1120,480,280,1140,385
43648,2,"43648X2","K0001","5649141",360,600,360,1140,300,1550,609
43648,2,"43648X2","K0001","5649142",5540,900,0,960,260,1140,276
43648,1,"43648X1","K0001","5649143",11620,0,0,300,1140,950,377
43648,3,"43648X3","K0001","5649144",0,1140,0,300,1140,1550,762
43648,3,"43648X3","K0001","5649145",950,600,1850,950,1140,300,424
43648,3,"43648X3","K0001","5649146",3460,1380,1120,1140,480,280,385
